routes_id,lat,lng,routes_status_code,uber_pool_distance,uber_pool_duration,uber_pool_high_estimate,uber_pool_low_estimate,uber_x_distance,uber_x_duration,uber_x_high_estimate,uber_x_low_estimate,uber_pool_surge,uber_x_surge,radius
165,42.35725737476184,-71.13178817511056,200,1.97,600.0,10.0,7.0,1.97,600.0,10.0,7.0,,,1.25
166,42.35802720466589,-71.1337246246266,200,2.47,660.0,11.0,7.0,2.47,660.0,11.0,8.0,,,1.25
167,42.35892217199324,-71.13555987011081,200,1.78,600.0,10.0,6.0,1.78,600.0,9.0,7.0,,,1.25
168,42.35993507099322,-71.13727913524569,200,2.23,600.0,11.0,7.0,2.23,600.0,10.0,7.0,,,1.25
169,42.36105774639864,-71.13886857751926,200,2.24,600.0,11.0,7.0,2.24,600.0,10.0,7.0,,,1.25
170,42.36228115908728,-71.14031539967691,200,2.22,600.0,11.0,7.0,2.22,600.0,10.0,7.0,,,1.25
171,42.3635954588595,-71.14160795275738,200,2.15,420.0,10.0,6.0,2.15,420.0,9.0,7.0,,,1.25
172,42.36499006374634,-71.14273582988321,200,1.89,420.0,9.0,6.0,1.89,420.0,9.0,6.0,,,1.25
173,42.36645374520928,-71.14368995005103,200,1.66,420.0,9.0,6.0,1.66,420.0,8.0,6.0,,,1.25
174,42.36797471854579,-71.14446263124623,200,2.48,480.0,10.0,7.0,2.48,480.0,10.0,7.0,,,1.25
175,42.3695407377729,-71.14504765229414,200,1.73,480.0,9.0,6.0,1.73,480.0,9.0,6.0,,,1.25
176,42.371139194224575,-71.14544030294931,200,1.6,480.0,9.0,6.0,1.6,480.0,9.0,6.0,,,1.25
177,42.37275721806936,-71.14563742181952,200,1.53,420.0,9.0,6.0,1.53,420.0,8.0,6.0,,,1.25
178,42.374381781930644,-71.14563742181952,200,1.4,360.0,9.0,6.0,1.4,360.0,9.0,7.0,,,1.25
179,42.37599980577543,-71.14544030294931,200,1.45,360.0,9.0,6.0,1.45,360.0,9.0,7.0,,,1.25
180,42.37759826222711,-71.14504765229414,200,1.43,360.0,9.0,6.0,1.43,360.0,9.0,7.0,,,1.25
181,42.37916428145422,-71.14446263124623,200,1.42,360.0,9.0,6.0,1.42,360.0,9.0,7.0,,,1.25
182,42.38068525479073,-71.14368995005103,200,1.53,360.0,10.0,6.0,1.53,360.0,10.0,7.0,,,1.25
183,42.382148936253664,-71.14273582988321,200,1.52,360.0,10.0,6.0,1.52,360.0,10.0,7.0,,,1.25
184,42.3835435411405,-71.14160795275738,200,1.58,360.0,10.0,6.0,1.58,360.0,10.0,7.0,,,1.25
185,42.38485784091273,-71.14031539967691,200,1.61,360.0,10.0,6.0,1.61,360.0,10.0,7.0,,,1.25
186,42.38608125360136,-71.13886857751926,200,1.51,360.0,10.0,6.0,1.51,360.0,10.0,7.0,,,1.25
187,42.387203929006795,-71.13727913524569,200,1.65,420.0,10.0,6.0,1.65,420.0,10.0,7.0,,,1.25
188,42.38821682800676,-71.13555987011081,200,1.39,420.0,10.0,6.0,1.39,420.0,10.0,7.0,,,1.25
189,42.38911179533412,-71.1337246246266,200,1.37,420.0,10.0,6.0,1.37,420.0,10.0,7.0,,,1.25
190,42.38988162523817,-71.13178817511056,200,1.48,360.0,10.0,6.0,1.48,360.0,10.0,7.0,,,1.25
191,42.39052011950117,-71.1297661127156,200,1.64,420.0,10.0,6.0,1.64,420.0,10.0,7.0,,,1.25
192,42.39102213734275,-71.12767471789917,200,1.79,480.0,10.0,7.0,1.79,480.0,11.0,8.0,,,1.25
193,42.39138363681044,-71.1255308293426,200,1.89,480.0,10.0,7.0,1.89,480.0,11.0,8.0,,,1.25
194,42.39160170732306,-71.12335170837595,200,1.58,420.0,10.0,6.0,1.58,420.0,10.0,7.0,,,1.25
195,42.391674593105094,-71.12115490000002,200,1.5,480.0,10.0,6.0,1.5,480.0,10.0,7.0,,,1.5
196,42.39523486111126,-71.11895718967577,200,2.02,600.0,9.0,6.0,2.02,600.0,12.0,9.0,,,1.5
197,42.395052949008786,-71.11677176983915,200,2.1,600.0,10.0,6.0,2.1,600.0,12.0,9.0,,,1.5
198,42.39475089274497,-71.11461086224436,200,1.85,660.0,9.0,6.0,1.85,660.0,11.0,8.0,,,1.5
199,42.39433038154096,-71.11248655156321,200,2.02,660.0,10.0,6.0,2.02,660.0,12.0,9.0,,,1.5
200,42.39379376706595,-71.11041071780272,200,2.14,660.0,10.0,6.0,2.14,660.0,12.0,9.0,,,1.5
201,42.3931440502858,-71.10839496986732,200,2.26,720.0,10.0,6.0,2.26,720.0,12.0,9.0,,,1.5
202,42.392384864680274,-71.10645058063712,200,2.15,600.0,10.0,6.0,2.15,600.0,12.0,9.0,,,1.5
203,42.39152045592324,-71.10458842392546,200,1.96,660.0,9.0,6.0,1.96,660.0,12.0,9.0,,,1.5
204,42.39055565813909,-71.10281891366796,200,1.85,600.0,9.0,6.0,1.85,600.0,11.0,8.0,,,1.5
205,42.389495866868415,-71.1011519456838,200,1.85,600.0,9.0,6.0,1.85,600.0,11.0,8.0,,,1.5
206,42.38834700889387,-71.09959684233414,200,1.91,600.0,9.0,6.0,1.91,600.0,11.0,8.0,,,1.5
207,42.38711550909528,-71.09816230038768,200,2.12,720.0,10.0,6.0,2.12,720.0,12.0,9.0,,,1.5
208,42.385808254519056,-71.09685634238495,200,1.5,180.0,10.0,6.0,1.5,180.0,12.0,9.0,,,1.5
209,42.38443255586306,-71.09568627177279,200,1.92,660.0,9.0,6.0,1.92,660.0,11.0,8.0,,,1.5
210,42.382996106592216,-71.09465863206074,200,1.87,600.0,9.0,6.0,1.87,600.0,11.0,8.0,,,1.5
211,42.38150693991353,-71.09377917022684,200,1.73,540.0,9.0,5.0,1.73,540.0,11.0,8.0,,,1.5
212,42.3799733838511,-71.0930528045785,200,1.83,600.0,9.0,6.0,1.83,600.0,11.0,8.0,,,1.5
213,42.37840401467253,-71.09248359724702,200,1.74,600.0,9.0,6.0,1.74,600.0,11.0,8.0,,,1.5
214,42.37680760892686,-71.09207473147067,200,1.9,660.0,9.0,6.0,1.9,660.0,11.0,8.0,,,1.5
215,42.37519309436257,-71.09182849379278,200,1.81,600.0,8.0,5.0,1.81,600.0,11.0,8.0,,,1.5
216,42.3735695,-71.09174626127427,200,1.74,600.0,8.0,5.0,1.74,600.0,11.0,8.0,,,1.5
217,42.37194590563744,-71.09182849379278,200,1.71,540.0,8.0,5.0,1.71,540.0,10.0,8.0,,,1.5
218,42.37033139107313,-71.09207473147067,200,1.99,600.0,9.0,5.0,1.99,600.0,11.0,8.0,,,1.5
219,42.36873498532747,-71.09248359724702,200,2.11,600.0,9.0,5.0,2.11,600.0,11.0,8.0,,,1.5
220,42.367165616148895,-71.0930528045785,200,1.8,540.0,8.0,5.0,1.8,540.0,11.0,8.0,,,1.5
221,42.365632060086476,-71.09377917022684,200,1.78,480.0,8.0,5.0,1.78,480.0,10.0,8.0,,,1.5
222,42.36414289340779,-71.09465863206074,200,1.9,540.0,9.0,5.0,1.9,540.0,11.0,8.0,,,1.5
223,42.36270644413696,-71.09568627177279,200,2.0,600.0,9.0,5.0,2.0,600.0,11.0,8.0,,,1.5
224,42.36133074548096,-71.09685634238495,200,2.03,600.0,9.0,5.0,2.03,600.0,11.0,8.0,,,1.5
225,42.36002349090473,-71.09816230038768,200,1.5,180.0,9.0,6.0,1.5,180.0,12.0,9.0,,,1.5
226,42.358791991106145,-71.09959684233414,200,2.8,600.0,10.0,6.0,2.8,600.0,13.0,9.0,,,1.5
